"groceryId","tagId","relevance"
1,1,0.025
1,2,0.025
1,3,0.05775
2,1,0.09675
2,2,0.14675
2,3,0.217
3,1,0.067
3,2,0.26275
3,3,0.262
4,1,0.032
4,2,0.577
4,3,0.11625
5,1,0.188
5,2,0.00800000000000001
5,3,0.03675
6,1,0.28175
6,2,0.00700000000000001
6,3,0.1105
7,1,0.6705
7,2,0.1845
7,3,0.33025
8,1,0.2825
8,2,0.057
8,3,0.0155
9,1,0.085
9,2,0.081
9,3,0.195
10,1,0.0715
10,2,0.892
10,3,0.67625
11,1,0.03875
11,2,0.228
11,3,0.402
12,1,0.03875
12,2,0.02675
12,3,0.33025
13,1,0.101
13,2,0.0125
13,3,0.0185
14,1,0.01425
14,2,0.01375
14,3,0.02475
15,1,0.14725
15,2,0.0415
15,3,0.26725
16,1,0.25575
16,2,0.00800000000000001
16,3,0.141
17,1,0.32
17,2,0.06825
17,3,0.26525
18,1,0.15825
18,2,0.235
18,3,0.07575
19,1,0.17875
19,2,0.0245
19,3,0.02275
20,1,0.018
20,2,0.13725
20,3,0.03125
21,1,0.54475
21,2,0.68775
21,3,0.93325
22,1,0.98575
22,2,0.101
22,3,0.0375
23,1,0.12075
23,2,0.03775
23,3,0.02
24,1,0.1435
24,2,0.011
24,3,0.02175
25,1,0.07325
25,2,0.012
25,3,0.2275
26,1,0.01525
26,2,0.097
26,1,0.0445
27,2,0.3575
27,3,0.02375
27,1,0.0545
28,2,0.111
28,3,0.03225
28,1,0.27975
29,2,0.09225
29,3,0.30275
29,1,0.04125
30,2,0.00624999999999998
30,3,0.00874999999999998
30,1,0.1435
31,2,0.0595
31,3,0.02875
31,1,0.32775
32,2,0.33225
32,3,0.044
32,1,0.0435
33,2,0.0625
33,3,0.05675
33,1,0.12725
34,2,0.10775
34,3,0.06875
34,1,0.0135
35,2,0.00900000000000001
35,3,0.0045
35,1,0.03975
36,2,0.00674999999999998
36,3,0.1875
36,1,0.03
37,2,0.13675
37,3,0.09675
37,1,0.013
38,2,0.0165
38,3,0.53425
38,1,0.034
39,2,0.2245
39,3,0.023
39,1,0.0055
40,2,0.0305
40,3,0.0015
40,1,0.1285
41,2,0.32025
41,3,0.23425
41,1,0.015
42,2,0.043
42,3,0.0465
42,1,0.05025
43,2,0.0415
43,3,0.43325
43,1,0.1795
44,2,0.0175
44,3,0.02725
44,1,0.2645
45,2,0.1155
45,3,0.0745
45,1,0.09375
46,2,0.1
46,3,0.069
46,1,0.26375
47,2,0.02875
47,3,0.12375
47,1,0.088
48,2,0.01475
48,143,0.08825
48,1,0.06825
49,2,0.08175
49,146,0.0515
49,1,0.0145
50,2,0.022
50,3,0.0745
50,1,0.0275
51,2,0.036
51,3,0.072
51,1,0.05325
52,2,0.207
52,3,0.0535
52,1,0.06175
53,2,0.046
53,3,0.02375
53,1,0.0355
54,2,0.177
54,3,0.01025
54,1,0.2365
55,2,0.085
55,3,0.2525
55,1,0.08425
56,2,0.01725
56,3,0.1475
56,1,0.03925
57,2,0.20525
57,3,0.45025
57,1,0.133
58,2,0.41575
58,3,0.11625
58,1,0.014
59,2,0.333
59,3,0.147
59,1,0.0495
