"groceryId","itemName","categories"
1,"Mint 30G","Vegetables|Herbs"
2,"Growing Mint Medium Pot","Vegetables|Herbs"
3,"Flat Leaf Parsley 100G","Vegetables|Herbs"
4,"Fresh Cut Flat Leaf Parsley 30G","Vegetables|Herbs"
5,"Coriander 100G","Vegetables|Herbs"
6,"Cut Basil 30G","Vegetables|Herbs"
7,"Iceberg Lettuce Each","Vegetables|Fresh-Vegetables"
8,"Tomatoes On The Vine 450G","Vegetables|Fresh-Vegetables"
9,"Salad Tomatoes 650G","Vegetables|Fresh-Vegetables"
10,"Wholemeal Medium Bread 800G","Bakery|Bread"
11,"Granary Wholemeal Bread 800G","Bakery|Bread"
12,"Wholemeal Bread 800G","Bakery|Bread"
13,"Wholemeal Thick Bread 800G","Bakery|Bread"
14,"Small Wholemeal Medium Bread 400G","Bakery|Bread"
15,"Wholemeal Loaf 800G","Bakery|Bread"
16,"Kingsmill Tasty Wholemeal Medium Bread 800G","Bakery|Bread"
17,"H W Nevill's Wholemeal Bread 800G","Bakery|Bread"
18,"English Muffins 4 Pack","Bakery|Pastries"
19,"Oven Bottom Muffins 6 Pack","Bakery|Pastries"
20,"4 Cinnamon Swirls 345G","Bakery|Pastries"
21,"Organic Grass-Fed Ribeye Steak","Meat|Fresh-Meat"
22,"Ground Lamb","Meat|Fresh-Meat"
23,"24 Beef Meatballs 672G","Meat|Fresh-Meat"
24,"Organic Pork Tenderloin","Meat|Fresh-Meat"
25,"Organic Beef Sirloin Steaks","Meat|Fresh-Meat"
26,"Organic Lean Diced Beef 400G","Meat|Fresh-Meat"
27,"Large Pork Shoulder Joint","Meat|Fresh-Meat"
28,"Beef Burgers 400G","Meat|Fresh-Meat"
29,"Aberdeen Angus Steak Mince 500G","Meat|Fresh-Meat"
30,"Whole Free-Range Chicken","Meat|Fresh-Poultry"
31,"British Turkey Breast Steaks 380G","Meat|Fresh-Poultry"
32,"Organic Duck Legs","Meat|Fresh-Poultry"
33,"Organic Chicken Thighs","Meat|Fresh-Poultry"
34,"Chicken Drumsticks","Meat|Fresh-Poultry"
35,"British Turkey Breast Mince 2% Fat 500G","Meat|Fresh-Poultry"
36,"Honey Roast Ham 125G","Meat|Ham"
37,"Cooked Ham 125G","Meat|Ham"
38,"Deli Cooked Ham 125G","Meat|Ham"
39,"Wafer Thin Honey Roast Ham 400G","Meat|Ham"
40,"Roast Dry Cured Ham 120g","Meat|Ham"
41,"Deli Ham On The Bone 120G","Meat|Ham"
42,"2 Scottish Salmon Fillets 230G","Fish|Fresh-Fish"
43,"Salmon Tails 230G","Fish|Fresh-Fish"
44,"Smoked Salmon 150g","Fish|Fresh-Fish"
45,"2 Yellow Fin Tuna Steaks 240G","Fish|Fresh-Fish"
46,"Sweetcure Smoked Mackerel Strips 200G","Fish|Fresh-Fish"
47,"Hot Smoked Salmon Fillets 180G","Fish|Fresh-Fish"
48,"4 Boneless Salmon Fillets 520G","Fish|Fresh-Fish"
49,"Leap Free Not Farmed Albacore Tuna 220G","Fish|Fresh-Fish"
50,"2 Scottish Loch Trout Fillets 260G","Fish|Fresh-Fish"
51,"Sweetcure Smoked Mackerel Fillets 160G","Fish|Fresh-Fish"
52,"Organic 2 Boneless Salmon Fillets 265G","Fish|Fresh-Fish"
53,"Drained Tuna Steak In Spring Water 110G","Fish|Canned-Fish"
54,"Tuna Chunks In Spring Water 145G","Fish|Canned-Fish"
55,"Tuna Chunks In Spring Water 4X145g","Drama"
56,"Tuna Chunks In Brine 4X145g","Fish|Canned-Fish"
57,"Sardines Olive Oil 120G","Fish|Canned-Fish"
58,"Sardines In Water 105G","Fish|Canned-Fish"
59,"Cantabrian Anchovy Fillets 100G","Fish|Canned-Fish"
